                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.91772,                0.51736,                0.97065,                0.96435,                 0.9691,                0.98652,                0.75612,                0.86474,                0.42958,                0.94328,               0.006535,               0.006535,               0.006535
                     38,                0.91058,                0.51603,                 0.9694,                0.96806,                0.96913,                0.98839,                 0.7625,                0.85212,                0.41851,                0.94199,               0.006436,               0.006436,               0.006436
                     39,                 0.9008,                0.50842,                0.96719,                0.97421,                0.96319,                0.98755,                0.76627,                0.85161,                0.42064,                0.94027,               0.006337,               0.006337,               0.006337
                     40,                0.90049,                 0.5057,                0.96462,                0.97035,                0.96491,                 0.9873,                0.76394,                0.85067,                0.41476,                0.93944,               0.006238,               0.006238,               0.006238
                     41,                0.89938,                0.50458,                0.96266,                0.96932,                0.96531,                0.98698,                0.76714,                0.84299,                0.41255,                0.93807,               0.006139,               0.006139,               0.006139
                     42,                0.88936,                0.49604,                0.96085,                0.96876,                 0.9665,                0.98515,                0.76908,                0.83707,                0.41007,                0.93975,                0.00604,                0.00604,                0.00604
                     43,                0.87943,                0.49205,                0.95717,                0.96821,                0.96785,                0.98729,                0.76796,                0.83848,                 0.4104,                0.93888,               0.005941,               0.005941,               0.005941
                     44,                0.87528,                0.48729,                0.95536,                 0.9683,                0.96862,                0.98858,                0.77292,                0.83256,                0.40006,                0.93516,               0.005842,               0.005842,               0.005842
                     45,                0.87545,                0.48749,                0.95617,                0.97354,                0.96638,                0.98902,                0.77406,                0.83228,                0.40028,                0.93465,               0.005743,               0.005743,               0.005743
                     46,                0.87025,                0.48022,                0.95194,                0.96656,                0.96917,                0.98807,                0.77429,                0.82772,                0.39922,                0.93343,               0.005644,               0.005644,               0.005644
                     47,                0.87073,                 0.4814,                0.95499,                0.97127,                0.96769,                0.98956,                 0.7759,                0.82596,                0.39565,                0.93259,               0.005545,               0.005545,               0.005545
                     48,                0.86643,                0.48096,                0.94806,                0.97217,                0.96863,                0.98903,                0.77585,                0.82223,                0.39199,                0.93099,               0.005446,               0.005446,               0.005446
                     49,                 0.8526,                0.47604,                0.94399,                0.97835,                 0.9658,                0.98941,                0.77854,                0.81954,                0.39094,                0.93255,               0.005347,               0.005347,               0.005347
                     50,                  0.849,                 0.4719,                0.94565,                0.97183,                0.96717,                0.98929,                0.77888,                0.82007,                0.39153,                0.93159,               0.005248,               0.005248,               0.005248
                     51,                0.84505,                0.46906,                0.94624,                0.97393,                0.96951,                0.98879,                0.78048,                0.81557,                0.38729,                0.92888,               0.005149,               0.005149,               0.005149
                     52,                 0.8373,                0.45935,                0.93951,                0.97623,                0.96625,                0.98908,                0.78399,                0.81012,                0.38223,                0.92735,                0.00505,                0.00505,                0.00505
                     53,                0.83505,                0.46036,                0.93945,                0.97448,                0.97141,                0.99002,                0.78577,                0.80671,                0.38014,                0.92761,               0.004951,               0.004951,               0.004951
                     54,                 0.8235,                0.45419,                0.93531,                0.97571,                0.97107,                0.98947,                0.78418,                 0.8064,                0.38082,                0.92603,               0.004852,               0.004852,               0.004852
                     55,                0.82112,                0.45288,                0.93509,                0.97503,                 0.9751,                0.98867,                 0.7869,                0.80607,                0.37607,                0.92482,               0.004753,               0.004753,               0.004753
                     56,                0.82499,                 0.4493,                0.93667,                0.97535,                0.97047,                0.98882,                0.78717,                0.80529,                0.37354,                 0.9257,               0.004654,               0.004654,               0.004654
                     57,                0.82024,                0.44562,                0.93785,                0.97482,                0.97248,                0.98965,                0.78896,                0.80087,                0.37301,                0.92568,               0.004555,               0.004555,               0.004555
                     58,                0.80799,                0.43834,                0.92934,                0.97567,                0.97046,                0.98921,                 0.7877,                0.80261,                0.37198,                0.92605,               0.004456,               0.004456,               0.004456
                     59,                0.80521,                0.43951,                0.93141,                0.97414,                0.97179,                0.98906,                0.78869,                0.79729,                0.36807,                0.92305,               0.004357,               0.004357,               0.004357
                     60,                0.80205,                0.43706,                0.92904,                0.97605,                0.97114,                0.98929,                0.79097,                 0.7974,                0.36702,                0.92531,               0.004258,               0.004258,               0.004258
                     61,                0.79459,                0.43407,                0.92555,                0.97755,                0.97291,                0.99094,                0.79235,                 0.7949,                0.36531,                0.92211,               0.004159,               0.004159,               0.004159
                     62,                0.79708,                0.43217,                0.92403,                0.97547,                0.97352,                0.99001,                0.79123,                0.79617,                0.36733,                0.92399,                0.00406,                0.00406,                0.00406
                     63,                0.79683,                0.43214,                0.92722,                0.97747,                0.96956,                0.98979,                0.79265,                0.79471,                0.36576,                0.92533,               0.003961,               0.003961,               0.003961
                     64,                0.78727,                0.42591,                0.92426,                0.97931,                0.97505,                0.99044,                0.79483,                0.79279,                0.36218,                0.92216,               0.003862,               0.003862,               0.003862
                     65,                0.78734,                0.42315,                0.92401,                0.97936,                0.97162,                0.99021,                0.79277,                  0.794,                0.36143,                0.92042,               0.003763,               0.003763,               0.003763
                     66,                 0.7737,                0.42019,                0.92049,                0.97619,                0.97832,                0.98993,                0.79276,                   0.79,                0.35922,                 0.9207,               0.003664,               0.003664,               0.003664
                     67,                0.77094,                0.41535,                 0.9216,                0.98094,                 0.9729,                0.99005,                0.79623,                0.78554,                0.35526,                 0.9191,               0.003565,               0.003565,               0.003565
                     68,                0.76724,                0.41262,                0.91718,                0.97833,                0.97465,                0.99022,                0.79561,                0.78515,                0.35425,                0.91862,               0.003466,               0.003466,               0.003466
                     69,                 0.7531,                0.40831,                0.91477,                0.97863,                0.97255,                0.98968,                 0.7972,                0.78301,                0.35359,                0.91843,               0.003367,               0.003367,               0.003367
                     70,                0.75334,                0.40481,                0.91227,                0.97801,                0.97633,                0.99031,                0.79959,                0.77682,                0.35256,                 0.9152,               0.003268,               0.003268,               0.003268
